departamento;distrito;zona  ;direccion;latitud;longitud;codigo_ue;unidad_educativa;cod_edif_educativo
SANTA CRUZ;SANTA CRUZ 2;SAN JORGE;SAN JORGE DE PALMASOLA;-17,872447;-63,195578;81980712,8198129;SAN JORGE DE PALMASOLA I,SAN JORGE DE PALMASOLA II;81980134
SANTA CRUZ;SANTA CRUZ 3;PLAN 3000 UV 146;B. BILLA BOLIVIA UV 146 CALLE JUPITER S/N;-17,817146;-63,135649;81980599,81980600,81980601;NUEVA AMERICA A,NUEVA AMERICA B,NUEVA AMERICA C;81980135
SANTA CRUZ;SANTA CRUZ 2;CASCO VIEJO;BALLIVIAN 249;-17,784297;-63,178597;81980901,81980903,81980904;BASILIO DE CUELLAR,FELICIDAD ARDAYA II,MARIANO SAUCEDO SEVILLA;81980136
SANTA CRUZ;SANTA CRUZ 2;RAMAFA;MARIANO TELCHI S/N;-17,803718;-63,183403;81980279,81980280,81980282;ALFREDO JORDAN CABALLERO,MARIO GUTIERREZ GUTIERREZ,JULIA RIBERA AGUILERA;81980138
SANTA CRUZ;SANTA CRUZ 1;SAN JUAN MACIAS;B. SAN JUAN MACIAS CALLE LAWRENCE 3145;-17,755318;-63,159826;81980220;FANNY ANTELO DE CALLAU;81980139
SANTA CRUZ;SANTA CRUZ 2;PARAISO;BERNABE SOSA S/N;-17,77915;-63,171215;81980919,8198092;ROBERTO ALVARADO DAZA,RODOLFO WEISE;81980140
SANTA CRUZ;SANTA CRUZ 2;CENTRAL;BOLIVAR 353;-17,782406;-63,177856;81980874,8198088;ANA BARBA I,ANA BARBA II;81980141
SANTA CRUZ;SANTA CRUZ 1;ENDE;AV. BRASIL FINAL CALLE CAPITAL URGEL EQUINA CORONEL PRADO;-17,784375;-63,154492;81980145,81980146,81981250;HNO. ALDO ROSSO I,DOMINGO FAUSTINO SARMIENTO,HNO. ALDO ROSSO II;81980142
SANTA CRUZ;SANTA CRUZ 1;MAC DONALD;AV. BANZER ENTRE 2DO Y 3ER. ANILLO CALLE CASTULO CHAVEZ UV 36 MZ E3;-17,863583;-63,183978;81980098,81980099,81980101;ING. CARLOS APONTE TINEO I,ING. CARLOS APONTE TINEO II,DR. GREGORIO MORENO;81980143
SANTA CRUZ;SANTA CRUZ 1;SANTA ROSITA;CALLE COMARAPA Y MATARAL;-17,788175;-63,198706;81980009,8198001;JOHN FITZGERALD KENNEDY I,JOHN FITZGERALD KENNEDY II;81980145
SANTA CRUZ;SANTA CRUZ 1;ORIENTAL UV 5 MZ 10;AV. ORIENTAL CALLE TORDO;-17,749064;-63,190289;81980085,81980089,81980090;DR. BERNARDO CADARIO BALCAZAR,OVIDIO SANTISTEBAN,REPUBLICA DEL PARAGUAY;81980147
SANTA CRUZ;SANTA CRUZ 3;VILLA 1RO. DE MAYO;CALLE 4 Y 5 VILLA 1RO. DE MAYO UV. 86 MZ 24;-17,795069;-63,130875;81980559,81980560,81980564,81980565,81981046,81981289;SANTA CRUZ DE LA SIERRA B,SANTA CRUZ DE LA SIERRA A,SANTA CRUZ DE LA SIERRA E,SANTA CRUZ DE LA SIERRA F,SANTA CRUZ DE LA SIERRA C,SANTA CRUZ DE LA SIERRA D;81980148
SANTA CRUZ;SANTA CRUZ 2;SUR BARRIO BRANIFF;CALLE AGUARAGUE S/N;-17,807994;-63,18013;81980346,81980347,81980348,81980349,81980351,81980352;JESUS MARIA I,JESUS MARIA II,JESUS MARIA III,JOSE MALKY I,JOSE MALKY II,JOSE MALKY III;81980149
