DEPARTAMEN;DISTRITO;ZONA;DIRECCION;CODIGO_UE;UNIDAD_EDU
COCHABAMBA;CHIMORE;ESTAÑO PALMITO;A 7KM. DE ESTAÑO PALMITO COMUNIDAD DE URUPA;50870059;10 DE MAYO
COCHABAMBA;CHIMORE;;;50870064;AVELINO SIÑANI
COCHABAMBA;VINTO;SUD;CALLLE MIGUEL MERCADO MOREIRA Km 17;50,900,001,509,000,000,000,000,000,000,000;DAVID ARZABE,MARTIN CARDENAS,NACIONAL DE VINTO,MARTIN CARDENAS HERMOSA
COCHABAMBA;VINTO;CERCADO;KM 16 A 150 METROS AL SUD;50900004;SOLEDAD RIVAS
COCHABAMBA;VINTO;SUD;MIGUEL MERCADO MOREIRA KM. 15;509,000,055,090,001;5 DE SEPTIEMBRE,CARMEN ROSA SALGUERO
COCHABAMBA;VINTO;PAIRUMANI;ECIA. PAIRUMANI;50900007;SIMON I. PATIÑO
COCHABAMBA;VINTO;CALATRANCANI;CALATRANCANI;50900008;CALATRANCANI
COCHABAMBA;VINTO;CHAQUI POTRERO;CHAQUI POTRERO;50900009;CHAQUI POTRERO
COCHABAMBA;VINTO;ANOCARAIRE;PLAZA ANOCARAIRE;50900010;ANOCARAIRE
COCHABAMBA;VINTO;CHARINCO;CHARINCO;50900011;CHARINCO
COCHABAMBA;VINTO;CHULLA A;CHULLA A;50900012;ISMAEL MONTES
COCHABAMBA;VINTO;COMBUYO;CANCHA COMBUYO;50900013;COMBUYO
COCHABAMBA;VINTO;FALSURI;CANCHA FALSURI;50900014;FALSURI
COCHABAMBA;VINTO;PAIRUMANI;ECIA. PAIRUMANI;50900015;ALBINA DE PATIÑO
COCHABAMBA;VINTO;KASPICANCHA;ECIA. KASPICANCHA;50900016;KASPI CANCHA
COCHABAMBA;VINTO;COLLPA CENTRO;COLLPA CENTRO;50900017;COLLPA CENTRO
COCHABAMBA;VINTO;LLAVE GRANDE;LLAVE GRANDE;50900018;LA LLAVE
COCHABAMBA;VINTO;MOTECATO;CANCHA MOTECATO;50900019;REINO UNIDO
COCHABAMBA;VINTO;PALCAPAMPA;ECIA. PALCAPAMPA;50900020;PALCAPAMPA
COCHABAMBA;VINTO;;;50900021;LITORAL DE PANTIPATA
COCHABAMBA;VINTO;KERAYA;KERAYA;50900024;KERAYA
COCHABAMBA;VINTO;SALTO PLAYA;SALTO PLAYA;50900025;SALTO PLAYA
COCHABAMBA;VINTO;COLLPA CALA CALA;COLLPA CENTRO;50900026;COLLPA CALA CALA
COCHABAMBA;VINTO;QUIÑONES;BARRIO QUIÑONES KAMI;509,000,275,090,003;SAGRADA FAMILIA,ZENOBIO QUIÑONES
COCHABAMBA;VINTO;BOLIVAR;AV. ALBINA PATIÑO ESQ. AV. SIMON I. PATIÑO;509,000,315,090,003;JOSE MELCHOR CUADROS,MATILDE LANZA
COCHABAMBA;VINTO;COTANI;COTANI;50900035;COTANI
COCHABAMBA;VINTO;COLLPA POTRERO;COLLPA POTRERO;50900036;COLLPA POTRERO
COCHABAMBA;VINTO;SUD;CALLE MIGUEL MERCADO M. TEMPLO ANTIGUO;50900038;SAN JOSE
COCHABAMBA;VINTO;21 DE SEPTIEMBRE;CALLE 21 DE SEPTIEMBRE;50900040;AGUA VIVA DE LA ROCA
COCHABAMBA;VINTO;LICENCIADA;AV. SIMON I. PATIÑO KM. 1 1/2;50900041;EBENEZER
COCHABAMBA;VINTO;BOLIVAR;AV. SIMON I. PATIÑO Nro 99;50900042;NUESTRA SEÑORA DEL ROSARIO
COCHABAMBA;VINTO;LICENCIADA;AV. SIMON I. PATIÑO;50900045;ADVENTISTA DE BOLIVIA
COCHABAMBA;VINTO;CENTRAL;AV. SIMON I. PATIÑO;50900046;SAN MARCOS
COCHABAMBA;VINTO;CENTRAL ESTE;AV. SIMON I. PATIÑO KM.15 Y MEDIO CALLE JUAN VARGAS PASAJE OBISPO A.;50900047;PARTICULAR SANTA ISABEL
COCHABAMBA;VINTO;COMUNIDAD ANCOCARAIRE;CALLE SUCRE;50900049;AVELINO MERIDA ZUBIETA
COCHABAMBA;VINTO;;;50900050;AMIGUITOS DEL REY
COCHABAMBA;VINTO;COMUNIDAD COLLPA POTRERO;CHUWALLANI;50900051;ELIZARDO PEREZ
COCHABAMBA;SACABAMBA;CHACUYO;CHACUYO;50950001;CHACUYO
COCHABAMBA;SACABAMBA;CHALLAQUE;CHALLAQUE ALTO;50950002;CHALLAQUE
COCHABAMBA;SACABAMBA;JATUN MAYU;ECIA. JATUN MAYU;50950003;JATUN MAYU
COCHABAMBA;SACABAMBA;QUECOMA ALTO;QUECOMA;50950004;QUECOMA ALTO
COCHABAMBA;ANZALDO (C. VILLA DE ANZALDO);TOLA TOLA;ECIA. TOLA TOLA;50950005;15 DE AGOSTO
COCHABAMBA;SACABAMBA;JATUN PAMPA;JATUN PAMPA;50950007;JATUN PAMPA
COCHABAMBA;SACABAMBA;LLALLAGUA;LLALLAGUA;50950008;LLALLAGUA
COCHABAMBA;SACABAMBA;YANA QAQA;YANA QAQA;50950009;YANA QAQA
COCHABAMBA;SACABAMBA;PUCARUMA;PUCARUMA;50950010;PUCARUMA
COCHABAMBA;SACABAMBA;SAN PEDRO;SAN PEDRO;50950011;SAN PEDRO
COCHABAMBA;SACABAMBA;APILLAPA;APILLAPA;50950013;APILLAPA
COCHABAMBA;SACABAMBA;YUNKATAQUI;YUNKATAQUI;50950014;YUNKATAQUI
COCHABAMBA;SACABAMBA;MATARANI;MATARANI;50950015;JESUS MARIA DE MATARANI
COCHABAMBA;SACABAMBA;MATARANI;MATARANI;50950016;MATARANI
COCHABAMBA;SACABAMBA;QUECOMA;QUECOMA;50950018;JESUS MARIA DE QUECOMA
COCHABAMBA;SACABAMBA;SACABAMBA;SACABAMBA;50950020;JESUS MARIA DE SACABAMBA
COCHABAMBA;SACABAMBA;SACABAMBA;SACABAMBA;50950021;ELISEO TORRICO
COCHABAMBA;ANZALDO (C. VILLA DE ANZALDO);PUCA PAMPA;CAMINO CARRETERO A SACABAMBA;70950005;VICENTE CARVALLO
COCHABAMBA;SACABAMBA;CHAUPICOLLO;CHAUPICOLLO;50950024;CHAUPICOLLO
COCHABAMBA;SACABAMBA;WAYCH'APATA;WAYCHAPATA;50950025;WAYCHAPATA
